certification_courses_id,organization_uai,national_student_id,last_name,first_name,birthdate,status,pix_score,certification_date,competence_code,competence_name,area_name,competence_level
4178834,9499060P,944385546HU,Dupré,Auguste,2004-12-12,rejected,66,2024-11-24 11:44:54.481486,1.1,Mener une recherche et une veille d’information,1. Information et données,5
4178834,9499060P,944385546HU,Dupré,Auguste,2004-12-12,rejected,66,2024-11-24 11:44:54.481486,1.2,Gérer des données,1. Information et données,7
4178834,9499060P,944385546HU,Dupré,Auguste,2004-12-12,rejected,66,2024-11-24 11:44:54.481486,1.3,Traiter des données,1. Information et données,1
4178834,9499060P,944385546HU,Dupré,Auguste,2004-12-12,rejected,66,2024-11-24 11:44:54.481486,2.1,Interagir,2. Communication et collaboration,5
4178834,9499060P,944385546HU,Dupré,Auguste,2004-12-12,rejected,66,2024-11-24 11:44:54.481486,2.2,Partager et publier,2. Communication et collaboration,2
4178834,9499060P,944385546HU,Dupré,Auguste,2004-12-12,rejected,66,2024-11-24 11:44:54.481486,2.3,Collaborer,2. Communication et collaboration,0
4178834,9499060P,944385546HU,Dupré,Auguste,2004-12-12,rejected,66,2024-11-24 11:44:54.481486,2.4,S’insérer dans le monde numérique,2. Communication et collaboration,5
4178834,9499060P,944385546HU,Dupré,Auguste,2004-12-12,rejected,66,2024-11-24 11:44:54.481486,3.1,Développer des documents textuels,3. Création de contenu,2
4178834,9499060P,944385546HU,Dupré,Auguste,2004-12-12,rejected,66,2024-11-24 11:44:54.481486,3.2,Développer des documents multimedia,3. Création de contenu,4
4178834,9499060P,944385546HU,Dupré,Auguste,2004-12-12,rejected,66,2024-11-24 11:44:54.481486,3.3,Adapter les documents à leur finalité,3. Création de contenu,7
4178834,9499060P,944385546HU,Dupré,Auguste,2004-12-12,rejected,66,2024-11-24 11:44:54.481486,3.4,Programmer,3. Création de contenu,0
4178834,9499060P,944385546HU,Dupré,Auguste,2004-12-12,rejected,66,2024-11-24 11:44:54.481486,4.1,Sécuriser l’environnement numérique,4. Protection et sécurité,5
4178834,9499060P,944385546HU,Dupré,Auguste,2004-12-12,rejected,66,2024-11-24 11:44:54.481486,4.2,Protéger les données personnelles et la vie privée,4. Protection et sécurité,4
4178834,9499060P,944385546HU,Dupré,Auguste,2004-12-12,rejected,66,2024-11-24 11:44:54.481486,4.3,"Protéger la santé, le bien-être et l’environnement",4. Protection et sécurité,2
4178834,9499060P,944385546HU,Dupré,Auguste,2004-12-12,rejected,66,2024-11-24 11:44:54.481486,5.1,Résoudre des problèmes techniques,5. Environnement numérique,1
4178834,9499060P,944385546HU,Dupré,Auguste,2004-12-12,rejected,66,2024-11-24 11:44:54.481486,5.2,Construire un environnement numérique,5. Environnement numérique,2
9558218,1452233K,086369926RY,De Sousa,Élise,1938-05-24,rejected,633,2024-12-19 18:44:41.769281,1.1,Mener une recherche et une veille d’information,1. Information et données,7
9558218,1452233K,086369926RY,De Sousa,Élise,1938-05-24,rejected,633,2024-12-19 18:44:41.769281,1.2,Gérer des données,1. Information et données,3
9558218,1452233K,086369926RY,De Sousa,Élise,1938-05-24,rejected,633,2024-12-19 18:44:41.769281,1.3,Traiter des données,1. Information et données,7
9558218,1452233K,086369926RY,De Sousa,Élise,1938-05-24,rejected,633,2024-12-19 18:44:41.769281,2.1,Interagir,2. Communication et collaboration,6
9558218,1452233K,086369926RY,De Sousa,Élise,1938-05-24,rejected,633,2024-12-19 18:44:41.769281,2.2,Partager et publier,2. Communication et collaboration,1
9558218,1452233K,086369926RY,De Sousa,Élise,1938-05-24,rejected,633,2024-12-19 18:44:41.769281,2.3,Collaborer,2. Communication et collaboration,1
9558218,1452233K,086369926RY,De Sousa,Élise,1938-05-24,rejected,633,2024-12-19 18:44:41.769281,2.4,S’insérer dans le monde numérique,2. Communication et collaboration,6
9558218,1452233K,086369926RY,De Sousa,Élise,1938-05-24,rejected,633,2024-12-19 18:44:41.769281,3.1,Développer des documents textuels,3. Création de contenu,6
9558218,1452233K,086369926RY,De Sousa,Élise,1938-05-24,rejected,633,2024-12-19 18:44:41.769281,3.2,Développer des documents multimedia,3. Création de contenu,5
9558218,1452233K,086369926RY,De Sousa,Élise,1938-05-24,rejected,633,2024-12-19 18:44:41.769281,3.3,Adapter les documents à leur finalité,3. Création de contenu,4
9558218,1452233K,086369926RY,De Sousa,Élise,1938-05-24,rejected,633,2024-12-19 18:44:41.769281,3.4,Programmer,3. Création de contenu,1
9558218,1452233K,086369926RY,De Sousa,Élise,1938-05-24,rejected,633,2024-12-19 18:44:41.769281,4.1,Sécuriser l’environnement numérique,4. Protection et sécurité,2
9558218,1452233K,086369926RY,De Sousa,Élise,1938-05-24,rejected,633,2024-12-19 18:44:41.769281,4.2,Protéger les données personnelles et la vie privée,4. Protection et sécurité,6
9558218,1452233K,086369926RY,De Sousa,Élise,1938-05-24,rejected,633,2024-12-19 18:44:41.769281,4.3,"Protéger la santé, le bien-être et l’environnement",4. Protection et sécurité,1
9558218,1452233K,086369926RY,De Sousa,Élise,1938-05-24,rejected,633,2024-12-19 18:44:41.769281,5.1,Résoudre des problèmes techniques,5. Environnement numérique,3
9558218,1452233K,086369926RY,De Sousa,Élise,1938-05-24,rejected,633,2024-12-19 18:44:41.769281,5.2,Construire un environnement numérique,5. Environnement numérique,7
7691841,9837276V,154505101GF,Aubert,Timothée,1911-03-15,validated,388,2024-12-16 13:43:25.949649,1.1,Mener une recherche et une veille d’information,1. Information et données,4
7691841,9837276V,154505101GF,Aubert,Timothée,1911-03-15,validated,388,2024-12-16 13:43:25.949649,1.2,Gérer des données,1. Information et données,5
7691841,9837276V,154505101GF,Aubert,Timothée,1911-03-15,validated,388,2024-12-16 13:43:25.949649,1.3,Traiter des données,1. Information et données,2
7691841,9837276V,154505101GF,Aubert,Timothée,1911-03-15,validated,388,2024-12-16 13:43:25.949649,2.1,Interagir,2. Communication et collaboration,4
7691841,9837276V,154505101GF,Aubert,Timothée,1911-03-15,validated,388,2024-12-16 13:43:25.949649,2.2,Partager et publier,2. Communication et collaboration,3
7691841,9837276V,154505101GF,Aubert,Timothée,1911-03-15,validated,388,2024-12-16 13:43:25.949649,2.3,Collaborer,2. Communication et collaboration,0
7691841,9837276V,154505101GF,Aubert,Timothée,1911-03-15,validated,388,2024-12-16 13:43:25.949649,2.4,S’insérer dans le monde numérique,2. Communication et collaboration,6
7691841,9837276V,154505101GF,Aubert,Timothée,1911-03-15,validated,388,2024-12-16 13:43:25.949649,3.1,Développer des documents textuels,3. Création de contenu,2
7691841,9837276V,154505101GF,Aubert,Timothée,1911-03-15,validated,388,2024-12-16 13:43:25.949649,3.2,Développer des documents multimedia,3. Création de contenu,5
7691841,9837276V,154505101GF,Aubert,Timothée,1911-03-15,validated,388,2024-12-16 13:43:25.949649,3.3,Adapter les documents à leur finalité,3. Création de contenu,4
7691841,9837276V,154505101GF,Aubert,Timothée,1911-03-15,validated,388,2024-12-16 13:43:25.949649,3.4,Programmer,3. Création de contenu,7
7691841,9837276V,154505101GF,Aubert,Timothée,1911-03-15,validated,388,2024-12-16 13:43:25.949649,4.1,Sécuriser l’environnement numérique,4. Protection et sécurité,2
7691841,9837276V,154505101GF,Aubert,Timothée,1911-03-15,validated,388,2024-12-16 13:43:25.949649,4.2,Protéger les données personnelles et la vie privée,4. Protection et sécurité,3
7691841,9837276V,154505101GF,Aubert,Timothée,1911-03-15,validated,388,2024-12-16 13:43:25.949649,4.3,"Protéger la santé, le bien-être et l’environnement",4. Protection et sécurité,7
7691841,9837276V,154505101GF,Aubert,Timothée,1911-03-15,validated,388,2024-12-16 13:43:25.949649,5.1,Résoudre des problèmes techniques,5. Environnement numérique,2
7691841,9837276V,154505101GF,Aubert,Timothée,1911-03-15,validated,388,2024-12-16 13:43:25.949649,5.2,Construire un environnement numérique,5. Environnement numérique,6
7120695,9494980T,598302001KB,Millet,Inès,1941-01-06,validated,8,2024-12-29 17:06:01.759697,1.1,Mener une recherche et une veille d’information,1. Information et données,2
7120695,9494980T,598302001KB,Millet,Inès,1941-01-06,validated,8,2024-12-29 17:06:01.759697,1.2,Gérer des données,1. Information et données,2
7120695,9494980T,598302001KB,Millet,Inès,1941-01-06,validated,8,2024-12-29 17:06:01.759697,1.3,Traiter des données,1. Information et données,1
7120695,9494980T,598302001KB,Millet,Inès,1941-01-06,validated,8,2024-12-29 17:06:01.759697,2.1,Interagir,2. Communication et collaboration,4
7120695,9494980T,598302001KB,Millet,Inès,1941-01-06,validated,8,2024-12-29 17:06:01.759697,2.2,Partager et publier,2. Communication et collaboration,7
7120695,9494980T,598302001KB,Millet,Inès,1941-01-06,validated,8,2024-12-29 17:06:01.759697,2.3,Collaborer,2. Communication et collaboration,6
7120695,9494980T,598302001KB,Millet,Inès,1941-01-06,validated,8,2024-12-29 17:06:01.759697,2.4,S’insérer dans le monde numérique,2. Communication et collaboration,7
7120695,9494980T,598302001KB,Millet,Inès,1941-01-06,validated,8,2024-12-29 17:06:01.759697,3.1,Développer des documents textuels,3. Création de contenu,3
7120695,9494980T,598302001KB,Millet,Inès,1941-01-06,validated,8,2024-12-29 17:06:01.759697,3.2,Développer des documents multimedia,3. Création de contenu,3
7120695,9494980T,598302001KB,Millet,Inès,1941-01-06,validated,8,2024-12-29 17:06:01.759697,3.3,Adapter les documents à leur finalité,3. Création de contenu,3
7120695,9494980T,598302001KB,Millet,Inès,1941-01-06,validated,8,2024-12-29 17:06:01.759697,3.4,Programmer,3. Création de contenu,6
7120695,9494980T,598302001KB,Millet,Inès,1941-01-06,validated,8,2024-12-29 17:06:01.759697,4.1,Sécuriser l’environnement numérique,4. Protection et sécurité,7
7120695,9494980T,598302001KB,Millet,Inès,1941-01-06,validated,8,2024-12-29 17:06:01.759697,4.2,Protéger les données personnelles et la vie privée,4. Protection et sécurité,0
7120695,9494980T,598302001KB,Millet,Inès,1941-01-06,validated,8,2024-12-29 17:06:01.759697,4.3,"Protéger la santé, le bien-être et l’environnement",4. Protection et sécurité,7
7120695,9494980T,598302001KB,Millet,Inès,1941-01-06,validated,8,2024-12-29 17:06:01.759697,5.1,Résoudre des problèmes techniques,5. Environnement numérique,7
7120695,9494980T,598302001KB,Millet,Inès,1941-01-06,validated,8,2024-12-29 17:06:01.759697,5.2,Construire un environnement numérique,5. Environnement numérique,4

